old.sample.ID,Sample_Type,Sample_detail,rep.ID,moss.lichen,experiment.type,plate,Sample_or_Control,E1,E2,E3,E4
C29_S1,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr3_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C29_S2,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr3_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C29_S3,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr3_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C30_S1,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr4_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C30_S2,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr4_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C30_S3,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr4_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
DPC_EX1_1,DPC,Control,,,Control,1,Control,F,F,F,F
DPC_EX1_2,DPC,Control,,,Control,1,Control,F,F,F,F
DPC_EX1_3,DPC,Control,,,Control,1,Control,F,F,F,F
DPC_EX1_4,DPC,Control,,,Control,1,Control,F,F,F,F
DPC_EX1_5,DPC,Control,,,Control,1,Control,F,F,F,F
DPC_EX1_6,DPC,Control,,,Control,1,Control,F,F,F,F
DPC_EX2_1,DPC,Control,,,Control,2,Control,F,F,F,F
DPC_EX2_2,DPC,Control,,,Control,2,Control,F,F,F,F
DPC_EX2_3,DPC,Control,,,Control,2,Control,F,F,F,F
DPC_EX2_4,DPC,Control,,,Control,2,Control,F,F,F,F
LPC_P1_1,LPC,Control,,,Control,1,Control,F,F,F,F
LPC_P1_2,LPC,Control,,,Control,1,Control,F,F,F,F
LPC_P1_3,LPC,Control,,,Control,1,Control,F,F,F,F
LPC_P1_4,LPC,Control,,,Control,1,Control,F,F,F,F
LPC_P1_5,LPC,Control,,,Control,1,Control,F,F,F,F
LPC_P2_1,LPC,Control,,,Control,2,Control,F,F,F,F
LPC_P2_2,LPC,Control,,,Control,2,Control,F,F,F,F
LPC_P2_3,LPC,Control,,,Control,2,Control,F,F,F,F
LPC_P2_4,LPC,Control,,,Control,2,Control,F,F,F,F
LPC_P2_5,LPC,Control,,,Control,2,Control,F,F,F,F
TPC_1,TPC,Control,,,Control,1,Control,F,F,F,F
TPC_2,TPC,Control,,,Control,1,Control,F,F,F,F
TPC_3,TPC,Control,,,Control,1,Control,F,F,F,F
TPC_4,TPC,Control,,,Control,2,Control,F,F,F,F
TPC_5,TPC,Control,,,Control,2,Control,F,F,F,F
TPC_6,TPC,Control,,,Control,2,Control,F,F,F,F
